"filename", "language", "HTML", "TypeScript", "SCSS", "TypeScript JSX", "XML", "comment", "blank", "total"
"e:\project\arc\EcoSort\EcoSort\src\components\indexProfile\exchange\exchange.tsx", "TypeScript JSX", 0, 0, 0, 50, 0, 2, 3, 55
"e:\project\arc\EcoSort\EcoSort\src\components\indexProfile\exchange\style.scss", "SCSS", 0, 0, 45, 0, 0, 2, 0, 47
"e:\project\arc\EcoSort\EcoSort\src\components\indexProfile\index.tsx", "TypeScript JSX", 0, 0, 0, 5, 0, 0, 1, 6
"e:\project\arc\EcoSort\EcoSort\src\components\indexProfile\knowledge\knowledge.tsx", "TypeScript JSX", 0, 0, 0, 58, 0, 0, 6, 64
"e:\project\arc\EcoSort\EcoSort\src\components\indexProfile\knowledge\style.scss", "SCSS", 0, 0, 46, 0, 0, 0, 2, 48
"e:\project\arc\EcoSort\EcoSort\src\components\indexProfile\policy\policy.tsx", "TypeScript JSX", 0, 0, 0, 92, 0, 0, 7, 99
"e:\project\arc\EcoSort\EcoSort\src\components\indexProfile\policy\style.scss", "SCSS", 0, 0, 76, 0, 0, 0, 4, 80
"e:\project\arc\EcoSort\EcoSort\src\components\loginWindow\loginWindow.tsx", "TypeScript JSX", 0, 0, 0, 68, 0, 11, 8, 87
"e:\project\arc\EcoSort\EcoSort\src\components\loginWindow\style.scss", "SCSS", 0, 0, 56, 0, 0, 0, 1, 57
"e:\project\arc\EcoSort\EcoSort\src\components\question\question\question.tsx", "TypeScript JSX", 0, 0, 0, 105, 0, 0, 11, 116
"e:\project\arc\EcoSort\EcoSort\src\components\question\question\style.scss", "SCSS", 0, 0, 69, 0, 0, 0, 2, 71
"e:\project\arc\EcoSort\EcoSort\src\components\question\result\result.tsx", "TypeScript JSX", 0, 0, 0, 58, 0, 0, 4, 62
"e:\project\arc\EcoSort\EcoSort\src\components\question\result\style.scss", "SCSS", 0, 0, 101, 0, 0, 0, 1, 102
"e:\project\arc\EcoSort\EcoSort\src\components\voiceProfile\finished\finished.tsx", "TypeScript JSX", 0, 0, 0, 27, 0, 0, 5, 32
"e:\project\arc\EcoSort\EcoSort\src\components\voiceProfile\finished\style.scss", "SCSS", 0, 0, 30, 0, 0, 0, 1, 31
"e:\project\arc\EcoSort\EcoSort\src\components\voiceProfile\index.tsx", "TypeScript JSX", 0, 0, 0, 4, 0, 0, 2, 6
"e:\project\arc\EcoSort\EcoSort\src\components\voiceProfile\ongoing\ongoing.tsx", "TypeScript JSX", 0, 0, 0, 20, 0, 0, 2, 22
"e:\project\arc\EcoSort\EcoSort\src\components\voiceProfile\ongoing\style.scss", "SCSS", 0, 0, 84, 0, 0, 0, 3, 87
"e:\project\arc\EcoSort\EcoSort\src\components\voiceProfile\primary\primary.tsx", "TypeScript JSX", 0, 0, 0, 12, 0, 0, 2, 14
"e:\project\arc\EcoSort\EcoSort\src\components\voiceProfile\primary\style.scss", "SCSS", 0, 0, 21, 0, 0, 0, 0, 21
"e:\project\arc\EcoSort\EcoSort\src\index.html", "HTML", 22, 0, 0, 0, 0, 0, 1, 23
"e:\project\arc\EcoSort\EcoSort\src\pages\classifyCamera\index.config.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 1, 6
"e:\project\arc\EcoSort\EcoSort\src\pages\classifyCamera\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 1, 1
"e:\project\arc\EcoSort\EcoSort\src\pages\classifyCamera\index.tsx", "TypeScript JSX", 0, 0, 0, 6, 0, 0, 3, 9
"e:\project\arc\EcoSort\EcoSort\src\pages\classifyHome\index.config.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 1, 6
"e:\project\arc\EcoSort\EcoSort\src\pages\classifyHome\index.scss", "SCSS", 0, 0, 33, 0, 0, 0, 0, 33
"e:\project\arc\EcoSort\EcoSort\src\pages\classifyHome\index.tsx", "TypeScript JSX", 0, 0, 0, 61, 0, 0, 3, 64
"e:\project\arc\EcoSort\EcoSort\src\pages\classifyText\index.config.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 1, 6
"e:\project\arc\EcoSort\EcoSort\src\pages\classifyText\index.scss", "SCSS", 0, 0, 136, 0, 0, 0, 7, 143
"e:\project\arc\EcoSort\EcoSort\src\pages\classifyText\index.tsx", "TypeScript JSX", 0, 0, 0, 118, 0, 4, 6, 128
"e:\project\arc\EcoSort\EcoSort\src\pages\classifyVoice\index.config.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 1, 6
"e:\project\arc\EcoSort\EcoSort\src\pages\classifyVoice\index.scss", "SCSS", 0, 0, 58, 0, 0, 0, 5, 63
"e:\project\arc\EcoSort\EcoSort\src\pages\classifyVoice\index.tsx", "TypeScript JSX", 0, 0, 0, 133, 0, 1, 14, 148
"e:\project\arc\EcoSort\EcoSort\src\pages\examDetail\index.config.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 1, 6
"e:\project\arc\EcoSort\EcoSort\src\pages\examDetail\index.scss", "SCSS", 0, 0, 75, 0, 0, 0, 0, 75
"e:\project\arc\EcoSort\EcoSort\src\pages\examDetail\index.tsx", "TypeScript JSX", 0, 0, 0, 141, 0, 1, 17, 159
"e:\project\arc\EcoSort\EcoSort\src\pages\examination\index.config.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 1, 7
"e:\project\arc\EcoSort\EcoSort\src\pages\examination\index.scss", "SCSS", 0, 0, 30, 0, 0, 0, 1, 31
"e:\project\arc\EcoSort\EcoSort\src\pages\examination\index.tsx", "TypeScript JSX", 0, 0, 0, 37, 0, 0, 4, 41
"e:\project\arc\EcoSort\EcoSort\src\pages\feedback\index.config.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 1, 6
"e:\project\arc\EcoSort\EcoSort\src\pages\feedback\index.scss", "SCSS", 0, 0, 47, 0, 0, 0, 1, 48
"e:\project\arc\EcoSort\EcoSort\src\pages\feedback\index.tsx", "TypeScript JSX", 0, 0, 0, 39, 0, 0, 3, 42
"e:\project\arc\EcoSort\EcoSort\src\pages\indexHome\index.config.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 1, 6
"e:\project\arc\EcoSort\EcoSort\src\pages\indexHome\index.scss", "SCSS", 0, 0, 141, 0, 0, 1, 16, 158
"e:\project\arc\EcoSort\EcoSort\src\pages\indexHome\index.tsx", "TypeScript JSX", 0, 0, 0, 148, 0, 0, 8, 156
"e:\project\arc\EcoSort\EcoSort\src\pages\loading\index.config.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 1, 6
